id,read1,read2,name,genome,output,region
A10_B001188_S262,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A10_B001188_S262_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A10_B001188_S262_R2_001.fastq.gz,A10_B001188_S262,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A10_B001190_S46,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A10_B001190_S46_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A10_B001190_S46_R2_001.fastq.gz,A10_B001190_S46,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A10_B001242_S202,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A10_B001242_S202_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A10_B001242_S202_R2_001.fastq.gz,A10_B001242_S202,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A10_B001263_S178,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A10_B001263_S178_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A10_B001263_S178_R2_001.fastq.gz,A10_B001263_S178,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A10_B002330_S118,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A10_B002330_S118_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A10_B002330_S118_R2_001.fastq.gz,A10_B002330_S118,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A10_B002877_S298,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A10_B002877_S298_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A10_B002877_S298_R2_001.fastq.gz,A10_B002877_S298,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A10_B002892_S34,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A10_B002892_S34_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A10_B002892_S34_R2_001.fastq.gz,A10_B002892_S34,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A10_B002898_S94,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A10_B002898_S94_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A10_B002898_S94_R2_001.fastq.gz,A10_B002898_S94,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A10_B003801_S130,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A10_B003801_S130_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A10_B003801_S130_R2_001.fastq.gz,A10_B003801_S130,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A10_B003841_S286,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A10_B003841_S286_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A10_B003841_S286_R2_001.fastq.gz,A10_B003841_S286,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A10_B003842_S82,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A10_B003842_S82_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A10_B003842_S82_R2_001.fastq.gz,A10_B003842_S82,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
