id,read1,read2,name,genome,output,region
A10_B001263_S10,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A10_B001263_S10_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A10_B001263_S10_R2_001.fastq.gz,A10_B001263_S10,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
A11_B001263_S11,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A11_B001263_S11_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A11_B001263_S11_R2_001.fastq.gz,A11_B001263_S11,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
A12_B001263_S12,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A12_B001263_S12_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A12_B001263_S12_R2_001.fastq.gz,A12_B001263_S12,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
A13_B001263_S13,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A13_B001263_S13_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A13_B001263_S13_R2_001.fastq.gz,A13_B001263_S13,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
A14_B001263_S14,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A14_B001263_S14_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A14_B001263_S14_R2_001.fastq.gz,A14_B001263_S14,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
A15_B001263_S15,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A15_B001263_S15_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A15_B001263_S15_R2_001.fastq.gz,A15_B001263_S15,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
A16_B001263_S16,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A16_B001263_S16_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A16_B001263_S16_R2_001.fastq.gz,A16_B001263_S16,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
A17_B001263_S17,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A17_B001263_S17_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A17_B001263_S17_R2_001.fastq.gz,A17_B001263_S17,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
A18_B001263_S18,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A18_B001263_S18_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A18_B001263_S18_R2_001.fastq.gz,A18_B001263_S18,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
A19_B001263_S19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A19_B001263_S19_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A19_B001263_S19_R2_001.fastq.gz,A19_B001263_S19,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
A1_B001263_S1,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A1_B001263_S1_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A1_B001263_S1_R2_001.fastq.gz,A1_B001263_S1,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
A20_B001263_S20,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A20_B001263_S20_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A20_B001263_S20_R2_001.fastq.gz,A20_B001263_S20,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
A22_B001263_S22,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A22_B001263_S22_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A22_B001263_S22_R2_001.fastq.gz,A22_B001263_S22,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
A2_B001263_S2,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A2_B001263_S2_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A2_B001263_S2_R2_001.fastq.gz,A2_B001263_S2,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
A3_B001263_S3,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A3_B001263_S3_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A3_B001263_S3_R2_001.fastq.gz,A3_B001263_S3,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
A4_B001263_S4,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A4_B001263_S4_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A4_B001263_S4_R2_001.fastq.gz,A4_B001263_S4,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
A5_B001263_S5,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A5_B001263_S5_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A5_B001263_S5_R2_001.fastq.gz,A5_B001263_S5,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
A6_B001263_S6,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A6_B001263_S6_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A6_B001263_S6_R2_001.fastq.gz,A6_B001263_S6,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
A7_B001263_S7,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A7_B001263_S7_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A7_B001263_S7_R2_001.fastq.gz,A7_B001263_S7,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
A9_B001263_S9,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A9_B001263_S9_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/A9_B001263_S9_R2_001.fastq.gz,A9_B001263_S9,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B10_B001263_S34,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B10_B001263_S34_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B10_B001263_S34_R2_001.fastq.gz,B10_B001263_S34,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B11_B001263_S35,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B11_B001263_S35_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B11_B001263_S35_R2_001.fastq.gz,B11_B001263_S35,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B12_B001263_S36,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B12_B001263_S36_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B12_B001263_S36_R2_001.fastq.gz,B12_B001263_S36,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B13_B001263_S37,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B13_B001263_S37_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B13_B001263_S37_R2_001.fastq.gz,B13_B001263_S37,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B14_B001263_S38,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B14_B001263_S38_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B14_B001263_S38_R2_001.fastq.gz,B14_B001263_S38,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B15_B001263_S39,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B15_B001263_S39_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B15_B001263_S39_R2_001.fastq.gz,B15_B001263_S39,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B16_B001263_S40,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B16_B001263_S40_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B16_B001263_S40_R2_001.fastq.gz,B16_B001263_S40,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B17_B001263_S41,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B17_B001263_S41_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B17_B001263_S41_R2_001.fastq.gz,B17_B001263_S41,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B18_B001263_S42,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B18_B001263_S42_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B18_B001263_S42_R2_001.fastq.gz,B18_B001263_S42,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B19_B001263_S43,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B19_B001263_S43_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B19_B001263_S43_R2_001.fastq.gz,B19_B001263_S43,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B1_B001263_S25,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B1_B001263_S25_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B1_B001263_S25_R2_001.fastq.gz,B1_B001263_S25,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B20_B001263_S44,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B20_B001263_S44_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B20_B001263_S44_R2_001.fastq.gz,B20_B001263_S44,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B21_B001263_S45,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B21_B001263_S45_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B21_B001263_S45_R2_001.fastq.gz,B21_B001263_S45,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
