id,read1,read2,name,genome,output,region
OPS016_mBAL_RNA_229_L9_S132,s3://czb-seqbot/fastqs/20181030_FS10000331_12_BNT40322-1214/OPS016_mBAL_RNA_229_L9_S132_R1_001.fastq.gz,s3://czb-seqbot/fastqs/20181030_FS10000331_12_BNT40322-1214/OPS016_mBAL_RNA_229_L9_S132_R2_001.fastq.gz,OPS016_mBAL_RNA_229_L9_S132,mouse/vM19,s3://olgabot-maca/aguamenti-test/,west
OPS016_mBAL_RNA_232_N9_S140,s3://czb-seqbot/fastqs/20181030_FS10000331_12_BNT40322-1214/OPS016_mBAL_RNA_232_N9_S140_R1_001.fastq.gz,s3://czb-seqbot/fastqs/20181030_FS10000331_12_BNT40322-1214/OPS016_mBAL_RNA_232_N9_S140_R2_001.fastq.gz,OPS016_mBAL_RNA_232_N9_S140,mouse/vM19,s3://olgabot-maca/aguamenti-test/,west
OPS016_mBAL_RNA_234_P9_S148,s3://czb-seqbot/fastqs/20181030_FS10000331_12_BNT40322-1214/OPS016_mBAL_RNA_234_P9_S148_R1_001.fastq.gz,s3://czb-seqbot/fastqs/20181030_FS10000331_12_BNT40322-1214/OPS016_mBAL_RNA_234_P9_S148_R2_001.fastq.gz,OPS016_mBAL_RNA_234_P9_S148,mouse/vM19,s3://olgabot-maca/aguamenti-test/,west
OPS016_mBAL_RNA_235_B11_S97,s3://czb-seqbot/fastqs/20181030_FS10000331_12_BNT40322-1214/OPS016_mBAL_RNA_235_B11_S97_R1_001.fastq.gz,s3://czb-seqbot/fastqs/20181030_FS10000331_12_BNT40322-1214/OPS016_mBAL_RNA_235_B11_S97_R2_001.fastq.gz,OPS016_mBAL_RNA_235_B11_S97,mouse/vM19,s3://olgabot-maca/aguamenti-test/,west
OPS016_mBAL_RNA_237_D11_S104,s3://czb-seqbot/fastqs/20181030_FS10000331_12_BNT40322-1214/OPS016_mBAL_RNA_237_D11_S104_R1_001.fastq.gz,s3://czb-seqbot/fastqs/20181030_FS10000331_12_BNT40322-1214/OPS016_mBAL_RNA_237_D11_S104_R2_001.fastq.gz,OPS016_mBAL_RNA_237_D11_S104,mouse/vM19,s3://olgabot-maca/aguamenti-test/,west
OPS016_mBAL_RNA_239_F11_S111,s3://czb-seqbot/fastqs/20181030_FS10000331_12_BNT40322-1214/OPS016_mBAL_RNA_239_F11_S111_R1_001.fastq.gz,s3://czb-seqbot/fastqs/20181030_FS10000331_12_BNT40322-1214/OPS016_mBAL_RNA_239_F11_S111_R2_001.fastq.gz,OPS016_mBAL_RNA_239_F11_S111,mouse/vM19,s3://olgabot-maca/aguamenti-test/,west
OPS016_mBAL_RNA_240_H11_S118,s3://czb-seqbot/fastqs/20181030_FS10000331_12_BNT40322-1214/OPS016_mBAL_RNA_240_H11_S118_R1_001.fastq.gz,s3://czb-seqbot/fastqs/20181030_FS10000331_12_BNT40322-1214/OPS016_mBAL_RNA_240_H11_S118_R2_001.fastq.gz,OPS016_mBAL_RNA_240_H11_S118,mouse/vM19,s3://olgabot-maca/aguamenti-test/,west
OPS016_mBAL_RNA_241_J11_S125,s3://czb-seqbot/fastqs/20181030_FS10000331_12_BNT40322-1214/OPS016_mBAL_RNA_241_J11_S125_R1_001.fastq.gz,s3://czb-seqbot/fastqs/20181030_FS10000331_12_BNT40322-1214/OPS016_mBAL_RNA_241_J11_S125_R2_001.fastq.gz,OPS016_mBAL_RNA_241_J11_S125,mouse/vM19,s3://olgabot-maca/aguamenti-test/,west
OPS016_mBAL_RNA_246_L11_S133,s3://czb-seqbot/fastqs/20181030_FS10000331_12_BNT40322-1214/OPS016_mBAL_RNA_246_L11_S133_R1_001.fastq.gz,s3://czb-seqbot/fastqs/20181030_FS10000331_12_BNT40322-1214/OPS016_mBAL_RNA_246_L11_S133_R2_001.fastq.gz,OPS016_mBAL_RNA_246_L11_S133,mouse/vM19,s3://olgabot-maca/aguamenti-test/,west
OPS016_mBAL_RNA_251_N11_S141,s3://czb-seqbot/fastqs/20181030_FS10000331_12_BNT40322-1214/OPS016_mBAL_RNA_251_N11_S141_R1_001.fastq.gz,s3://czb-seqbot/fastqs/20181030_FS10000331_12_BNT40322-1214/OPS016_mBAL_RNA_251_N11_S141_R2_001.fastq.gz,OPS016_mBAL_RNA_251_N11_S141,mouse/vM19,s3://olgabot-maca/aguamenti-test/,west
OPS016_mBAL_RNA_252_P11_S149,s3://czb-seqbot/fastqs/20181030_FS10000331_12_BNT40322-1214/OPS016_mBAL_RNA_252_P11_S149_R1_001.fastq.gz,s3://czb-seqbot/fastqs/20181030_FS10000331_12_BNT40322-1214/OPS016_mBAL_RNA_252_P11_S149_R2_001.fastq.gz,OPS016_mBAL_RNA_252_P11_S149,mouse/vM19,s3://olgabot-maca/aguamenti-test/,west
