id,read1,read2,name,genome,output,region
Leslie1_S1,s3://czb-seqbot/fastqs/20181214_FS10000331_18_BPA73006-2327/Leslie1_S1_R1_001.fastq.gz,s3://czb-seqbot/fastqs/20181214_FS10000331_18_BPA73006-2327/Leslie1_S1_R2_001.fastq.gz,Leslie1_S1,mouse/vM19,s3://olgabot-maca/aguamenti-test/,west
Leslie2-2_S25,s3://czb-seqbot/fastqs/20181214_FS10000331_18_BPA73006-2327/Leslie2-2_S25_R1_001.fastq.gz,s3://czb-seqbot/fastqs/20181214_FS10000331_18_BPA73006-2327/Leslie2-2_S25_R2_001.fastq.gz,Leslie2-2_S25,mouse/vM19,s3://olgabot-maca/aguamenti-test/,west
Leslie2_S2,s3://czb-seqbot/fastqs/20181214_FS10000331_18_BPA73006-2327/Leslie2_S2_R1_001.fastq.gz,s3://czb-seqbot/fastqs/20181214_FS10000331_18_BPA73006-2327/Leslie2_S2_R2_001.fastq.gz,Leslie2_S2,mouse/vM19,s3://olgabot-maca/aguamenti-test/,west
Leslie3_S3,s3://czb-seqbot/fastqs/20181214_FS10000331_18_BPA73006-2327/Leslie3_S3_R1_001.fastq.gz,s3://czb-seqbot/fastqs/20181214_FS10000331_18_BPA73006-2327/Leslie3_S3_R2_001.fastq.gz,Leslie3_S3,mouse/vM19,s3://olgabot-maca/aguamenti-test/,west
Leslie4_S4,s3://czb-seqbot/fastqs/20181214_FS10000331_18_BPA73006-2327/Leslie4_S4_R1_001.fastq.gz,s3://czb-seqbot/fastqs/20181214_FS10000331_18_BPA73006-2327/Leslie4_S4_R2_001.fastq.gz,Leslie4_S4,mouse/vM19,s3://olgabot-maca/aguamenti-test/,west
Leslie5_S5,s3://czb-seqbot/fastqs/20181214_FS10000331_18_BPA73006-2327/Leslie5_S5_R1_001.fastq.gz,s3://czb-seqbot/fastqs/20181214_FS10000331_18_BPA73006-2327/Leslie5_S5_R2_001.fastq.gz,Leslie5_S5,mouse/vM19,s3://olgabot-maca/aguamenti-test/,west
PB-Bactin-Cre-Crim-c1_S24,s3://czb-seqbot/fastqs/20181214_FS10000331_18_BPA73006-2327/PB-Bactin-Cre-Crim-c1_S24_R1_001.fastq.gz,s3://czb-seqbot/fastqs/20181214_FS10000331_18_BPA73006-2327/PB-Bactin-Cre-Crim-c1_S24_R2_001.fastq.gz,PB-Bactin-Cre-Crim-c1_S24,mouse/vM19,s3://olgabot-maca/aguamenti-test/,west
Ryan16_S15,s3://czb-seqbot/fastqs/20181214_FS10000331_18_BPA73006-2327/Ryan16_S15_R1_001.fastq.gz,s3://czb-seqbot/fastqs/20181214_FS10000331_18_BPA73006-2327/Ryan16_S15_R2_001.fastq.gz,Ryan16_S15,mouse/vM19,s3://olgabot-maca/aguamenti-test/,west
Ryan2-11_S14,s3://czb-seqbot/fastqs/20181214_FS10000331_18_BPA73006-2327/Ryan2-11_S14_R1_001.fastq.gz,s3://czb-seqbot/fastqs/20181214_FS10000331_18_BPA73006-2327/Ryan2-11_S14_R2_001.fastq.gz,Ryan2-11_S14,mouse/vM19,s3://olgabot-maca/aguamenti-test/,west
Ryan2-6_S13,s3://czb-seqbot/fastqs/20181214_FS10000331_18_BPA73006-2327/Ryan2-6_S13_R1_001.fastq.gz,s3://czb-seqbot/fastqs/20181214_FS10000331_18_BPA73006-2327/Ryan2-6_S13_R2_001.fastq.gz,Ryan2-6_S13,mouse/vM19,s3://olgabot-maca/aguamenti-test/,west
